original_author,canonical_author
a. a. turner,Andrew Turner
a. barrenblit,A. Barrenblit
a. campbell,Anthony Campbell
a. cardoso,Anabelle Williamson Cardoso
a. cunningham,A. Cunningham
a. ferraz,Antonio Ferraz
a. hargey,Ayesha Hargey
a. lee,Alan Lee
a. mannino,A. Mannino
a. stovall,Atticus Stovall
a. wilson,Adam Wilson
a.g. rebelo,Alanna Rebelo
a.m. chlus,A.m. Chlus
abel ramoelo,Abel Ramoelo
abigail barrenblitt,Abigail Barrenblitt
adam m. wilson,Adam Wilson
adam thomas clark,Adam Thomas Clark
adam wilson,Adam Wilson
akira s. mori,Akira S. Mori
alan e. gelfand,Alan E. Gelfand
alan lee,Alan Lee
alan t. k. lee,Alan Lee
alanna rebelo,Alanna Rebelo
alex forrest,Alex Forrest
alexandra j. wright,Alexandra J. Wright
alexey n. shiklomanov,Alexey N. Shiklomanov
alicia cortes,Alicia Cortes
amanda armstrong,Amanda Armstrong
amy frazier,Amy Frazier
ana carnaval,Ana Carnaval
anabelle cardoso,Anabelle Williamson Cardoso
anabelle w. cardoso,Anabelle Williamson Cardoso
anabelle williamson cardoso,Anabelle Williamson Cardoso
andreas hueni,Andreas Hueni
andres baresch,Andres Baresch
andrew a. turner,Andrew Turner
andrew elmore,Andrew Elmore
andrew hector,Andrew Hector
andrew l. skowno,Andrew L. Skowno
andrew macdougall,Andrew Macdougall
andrew saah,Andrew Saah
andrew turner,Andrew Turner
anthony campbell,Anthony Campbell
antonio ferraz,Antonio Ferraz
asha de vos,Asha De Vos
atticus stovall,Atticus Stovall
ayesha hargey,Ayesha Hargey
ayia lindquist,Ayia Lindquist
benjamin dechant,Benjamin Dechant
benjamin poulter,Benjamin Poulter
bimal kumar bhattacharya,Bimal Kumar Bhattacharya
brian maitner,Brian Salvin Maitner
brian salvin maitner,Brian Salvin Maitner
brishan kalyan,Brishan Kalyan
bruce wilson,Bruce Wilson
bryce currey,Bryce Currey
c. forbes,Cherie Janine Forbes
c. seymour,Colleen Seymour
campbell fleming,Campbell Fleming
carlos a. arnillas,Carlos A. Arnillas
carly stevens,Carly Stevens
cecilia masemola,Cecilia Masemola
charles e. miller,Charles E. Miller
charles kovach,Charles William Kovach
charles william kovach,Charles William Kovach
cherie forbes,Cherie Janine Forbes
cherie j. forbes,Cherie Janine Forbes
cherie janine forbes,Cherie Janine Forbes
cherié j. forbes,Cherie Janine Forbes
christiana ade,Christiana Ade
christina hagen,Christina Hagen
christopher larsen,Christopher Larsen
christopher n. severen,Christopher N. Severen
cibele h. amaral,Cibele H. Amaral
cletah shoko,Cletah Shoko
colleen seymour,Colleen Seymour
corey merow,Corey Merow
d. j. jensen,Daniel Jensen
d.j. jensen,Daniel Jensen
d.r. thompson,D.r. Thompson
daniel buttner,Daniel Buttner
daniel cloete,Daniel Cloete
daniel jensen,Daniel Jensen
daniel sousa,Daniel Sousa
daniel spalink,Daniel Spalink
daniël cloete,Daniel Cloete
danl pierce,Danl Pierce
darien labbe,Darien Labbe
david f. leland,David Leland
david leland,David Leland
david r. thompson,D.r. Thompson
david rabine,David Rabine
david schimel,David Schimel
dominic mazvimavi,Dominic Mazvimavi
drew meyers,Drew Meyers
e. adam,Elhadi Adam
e. hestir,Erin Lee Hestir
e. natasha stavros,E. Natasha Stavros
e. urquhart,E. Urquhart
efthymios ioannis nikolopoulos,Efthymios Ioannis Nikolopoulos
elhadi adam,Elhadi Adam
elizabeth t. borer,Elizabeth T. Borer
erika podest,Erika Podest
erin hestir,Erin Lee Hestir
erin l hestir,Erin Lee Hestir
erin l. hestir,Erin Lee Hestir
erin lee hestir,Erin Lee Hestir
ethan shafron,Ethan Shafron
eugéne hahndiek,Eugéne Hahndiek
evan lang,Evan Lang
ewa a. czyz,Ewa A. Czyz
f. d. schneider,Fabian Schneider
f. o. adegbola,Festus Adegbola
fabian d. schneider,Fabian Schneider
fabian schneider,Fabian Schneider
festus adegbola,Festus Adegbola
geethen singh,Geethen Singh
geoffrey schladow,Geoffrey Schladow
