zotero_key,author_position,openalex_author_id,display_name,country_code,institution
73I46GUJ,0,A5119301611,Ramesh Bhatta,US,Rochester Institute of Technology
73I46GUJ,1,A5103542743,J AN van Aardt,US,Rochester Institute of Technology
JG2TBC2S,0,,Evan Greenberg,US,Jet Propulsion Laboratory
JG2TBC2S,0,,Evan Greenberg,US,Government of the United States of America
JG2TBC2S,1,,Niklas Bohn,US,Jet Propulsion Laboratory
JG2TBC2S,1,,Niklas Bohn,US,Government of the United States of America
JG2TBC2S,2,,Philip  G. Brodrick,US,Jet Propulsion Laboratory
JG2TBC2S,2,,Philip  G. Brodrick,US,Government of the United States of America
JG2TBC2S,3,,James Montgomery,US,Jet Propulsion Laboratory
JG2TBC2S,3,,James Montgomery,US,Government of the United States of America
JG2TBC2S,4,,Nimrod Carmon,,
JG2TBC2S,5,,Regina Eckert,US,Jet Propulsion Laboratory
JG2TBC2S,5,,Regina Eckert,US,Government of the United States of America
JG2TBC2S,6,,Robert  O. Green,US,Jet Propulsion Laboratory
JG2TBC2S,6,,Robert  O. Green,US,Government of the United States of America
JG2TBC2S,7,,David  R. Thompson,US,Jet Propulsion Laboratory
JG2TBC2S,7,,David  R. Thompson,US,Government of the United States of America
G24GRQM6,0,A5130223290,E. Greenberg,,
G24GRQM6,1,A5130237504,P.G. Brodrick,,
G24GRQM6,2,A5130241554,D.R. Thompson,,
G24GRQM6,3,A5130225814,A.M. Chlus,,
G24GRQM6,4,A5130213686,N. Bohn,,
G24GRQM6,5,A5130251205,J. Montgomery,,
G24GRQM6,6,A5130250951,J.W. Chapman,,
G24GRQM6,7,A5130218794,B.A. Wilder,,
G24GRQM6,8,A5130216156,M. Eastwood,,
G24GRQM6,9,A5009964529,S.R. Lundeen,,
G24GRQM6,10,A5130237107,R. Eckert,,
G24GRQM6,11,A5130228763,W. Olson-Duvall,,
G24GRQM6,12,A5130249156,R.F. Kokaly,,
G24GRQM6,13,A5130231686,R.O. Green,,
E9X6XH3U,0,A5130241554,D.R. Thompson,,
E9X6XH3U,1,A5130237107,R. Eckert,,
E9X6XH3U,2,A5130236671,M. Bernas,,
E9X6XH3U,3,A5130237504,P.G. Brodrick,,
E9X6XH3U,4,A5130225814,A.M. Chlus,,
E9X6XH3U,5,A5130250951,J.W. Chapman,,
E9X6XH3U,6,A5130216156,M. Eastwood,,
E9X6XH3U,7,A5130216865,H. Bender,,
E9X6XH3U,8,A5130229015,S. Geier,,
E9X6XH3U,9,A5130223290,E. Greenberg,,
E9X6XH3U,10,A5130251281,D. Keymeulen,,
E9X6XH3U,11,A5130248299,E. Liggett,,
E9X6XH3U,12,A5130228763,W. Olson-Duvall,,
E9X6XH3U,13,A5130223154,L.M. Rios,,
E9X6XH3U,14,A5028024148,Ed. Brunner,,
E9X6XH3U,15,A5122385279,D.J. Jensen,,
E9X6XH3U,16,A5130218315,S. Zandbergen,,
E9X6XH3U,17,A5130243555,Z. Small,,
E9X6XH3U,18,A5130232651,L.A. Shaw,,
E9X6XH3U,19,A5130214134,P. Sullivan,,
E9X6XH3U,20,A5130227175,Q.P. Vinckier,,
E9X6XH3U,21,A5130214393,W. Turner,,
E9X6XH3U,22,A5130244175,J.Y. Wang,,
E9X6XH3U,23,A5130231686,R.O. Green,,
X4A9Z8NX,0,,"Brodrick, P.G.",,
X4A9Z8NX,1,,"Chlus, A.M.",,
X4A9Z8NX,2,,"Eckert, R.",,
X4A9Z8NX,3,,"Chapman, J.W.",,
X4A9Z8NX,4,,"Eastwood, M.",,
X4A9Z8NX,5,,"Geier, S.",,
X4A9Z8NX,6,,"Helmlinger, M.",,
X4A9Z8NX,7,,"Lundeen, S.R.",,
X4A9Z8NX,8,,"Olson-Duvall, W.",,
X4A9Z8NX,9,,"Pavlick, R.",,
X4A9Z8NX,10,,"Rios, L.M.",,
X4A9Z8NX,11,,"Thompson, D.R.",,
X4A9Z8NX,12,,"Green, R.O.",,
KY8FSH6S,0,A5034086801,Adam M. Wilson,US,"University at Buffalo, State University of New York"
KY8FSH6S,1,A5075161633,Jasper A. Slingsby,ZA,South African Environmental Observation Network
KY8FSH6S,2,A5009427375,John A. Silander,,
KY8FSH6S,3,A5006070240,Cory Merow,US,Yale University
KY8FSH6S,4,A5074325009,Henry Frye,,
N7TLXNZA,0,A5133275609,Phemelo Mojalefa Rutlokoane,ZA,University of the Western Cape
N7TLXNZA,1,A5133278059,Patrick O'Farrell,ZA,University of the Western Cape
N7TLXNZA,2,A5129081805,Ryan Blanchard,ZA,South African Radio Astronomy Observatory
N7TLXNZA,2,A5129081805,Ryan Blanchard,ZA,South African Environmental Observation Network
M585U75D,0,A5120103999,Afika Phumelela Singano,ZA,University of Pretoria
M585U75D,1,A5012859434,Philemon Tsele,ZA,University of Pretoria
M585U75D,2,A5035052832,Abel Ramoelo,ZA,University of Pretoria
M585U75D,3,A5022441956,Moses Azong Cho,,
M585U75D,4,A5072517782,Bongokuhle Sibiya,ZA,University of KwaZulu-Natal
NBXM7ZI2,0,A5130140409,Bongokuhle S’phesihle Sibiya,ZA,Council for Scientific and Industrial Research
NBXM7ZI2,0,A5130140409,Bongokuhle S’phesihle Sibiya,GH,Council for Scientific and Industrial Research
NBXM7ZI2,0,A5130140409,Bongokuhle S’phesihle Sibiya,ZA,University of KwaZulu-Natal
NBXM7ZI2,1,A5022441956,Moses Azong Cho,ZA,Council for Scientific and Industrial Research
NBXM7ZI2,1,A5022441956,Moses Azong Cho,GH,Council for Scientific and Industrial Research
NBXM7ZI2,1,A5022441956,Moses Azong Cho,ZA,University of KwaZulu-Natal
NBXM7ZI2,2,A5052316745,Onisimo Mutanga,ZA,University of KwaZulu-Natal
NBXM7ZI2,3,A5031257536,John Odindi,ZA,University of KwaZulu-Natal
NBXM7ZI2,4,A5079099880,Cecilia Masemola,ZA,Council for Scientific and Industrial Research
NBXM7ZI2,4,A5079099880,Cecilia Masemola,GH,Council for Scientific and Industrial Research
NBXM7ZI2,5,,Johannes Van Staden,ZA,University of KwaZulu-Natal
RXWLB2LD,0,A5046232521,Wessel Bonnet,ZA,Council for Scientific and Industrial Research
RXWLB2LD,1,A5022441956,Moses Azong Cho,ZA,Council for Scientific and Industrial Research
RXWLB2LD,2,A5041224209,Paxie W. Chirwa,ZA,University of Pretoria
RXWLB2LD,3,A5079099880,Cecilia Masemola,ZA,South African National Space Agency
6YNEZ6EM,0,A5083570738,Meghan T. Hayden,US,University of Colorado Boulder
6YNEZ6EM,1,A5045468947,Matthew W. Rossi,US,Cooperative Institute for Research in Environmental Sciences
6YNEZ6EM,1,A5045468947,Matthew W. Rossi,US,University of Colorado Boulder
6YNEZ6EM,1,A5045468947,Matthew W. Rossi,US,University of Colorado System
6YNEZ6EM,2,A5033730022,Laura E. Dee,US,University of Colorado Boulder
6YNEZ6EM,3,A5056274336,Kyle R. Kovach,US,University of Wisconsin–Madison
6YNEZ6EM,4,A5045065046,Cibele Hummel do Amaral,US,Cooperative Institute for Research in Environmental Sciences
6YNEZ6EM,4,A5045065046,Cibele Hummel do Amaral,US,University of Colorado Boulder
6YNEZ6EM,4,A5045065046,Cibele Hummel do Amaral,US,University of Colorado System
6YNEZ6EM,5,A5017719816,Jacob Nesslage,US,"University of California, Merced"
6YNEZ6EM,6,A5115442222,Madeline Slimp,US,"University of California, Santa Cruz"
6YNEZ6EM,7,A5080883025,Rachel S. Meyer,US,"University of California, Santa Cruz"
6YNEZ6EM,8,A5014255363,E. Natasha Stavros,US,Atkinson Noland and Associates (United States)
HK3XKJID,0,A5013779212,Ali Reza Payandeh,US,Jet Propulsion Laboratory
HK3XKJID,1,A5120970171,Marc Simard,US,Jet Propulsion Laboratory
HK3XKJID,2,A5072635045,Daniel Jensen,US,Jet Propulsion Laboratory
HK3XKJID,3,A5070107390,Anthony Campbell,US,Goddard College
HK3XKJID,4,A5086308388,Heidi van Deventer,ZA,Council for Scientific and Industrial Research
HK3XKJID,4,A5086308388,Heidi van Deventer,GB,GeoInformation (United Kingdom)
HK3XKJID,5,A5038903118,Alexandra Christensen,US,Jet Propulsion Laboratory
JT9WCL6U,0,,"Clark, M.",,
JT9WCL6U,1,,"Salas, L.",,
JT9WCL6U,2,,"Snyder, R.",,
JT9WCL6U,3,,"Lee, A.",,
JT9WCL6U,4,,"Turner, A.A.",,
JT9WCL6U,5,,"Seymour, C.",,
JT9WCL6U,6,,"Measey, J.",,
JT9WCL6U,7,,"Ferraz, A.",,
JT9WCL6U,8,,"Schneider, F.D.",,
JT9WCL6U,9,,"Adegbola, F.O.",,
WAGH4Y2W,0,,"Slimp, M.",,
WAGH4Y2W,1,,"Malindi, J.",,
WAGH4Y2W,2,,"Meyer, R.",,
WAGH4Y2W,3,,"Cunningham, A.",,
WAGH4Y2W,4,,"Rourke, J.",,
WAGH4Y2W,5,,"Hayden, M.",,
WAGH4Y2W,6,,"Hargey, A.",,
WAGH4Y2W,7,,"Nesslage, J.",,
WAGH4Y2W,8,,"Johnson, S.",,
WAGH4Y2W,9,,"Rossi, M.",,
WAGH4Y2W,10,,"Stavros, N.",,
V2MPBCTI,0,,"Kovach, K.R.",,
V2MPBCTI,1,,"Ye, Z.",,
V2MPBCTI,2,,"Frye, H.",,
V2MPBCTI,3,,"Townsend, P.A.",,
NVFCDSB2,0,,"Campbell, A.",,
NVFCDSB2,1,,"Adam, E.",,
NVFCDSB2,2,,"Fatoyinbo, L.",,
NVFCDSB2,3,,"Jensen, D.J.",,
NVFCDSB2,4,,"Simard, M.",,
NVFCDSB2,5,,"Smith, K.",,
NVFCDSB2,6,,"Thakali, P.",,
NVFCDSB2,7,,"Barrenblit, A.",,
NVFCDSB2,8,,"Naidoo, L.",,
NVFCDSB2,9,,"van Deventer, H.",,
NVFCDSB2,10,,"Stovall, A.",,
3ACKTURE,0,,"Campbell, A.",,
3ACKTURE,1,,"Adam, E.",,
3ACKTURE,2,,"Fatoyinbo, L.",,
3ACKTURE,3,,"Jensen, D.J.",,
3ACKTURE,4,,"Simard, M.",,
3ACKTURE,5,,"Smith, K.",,
3ACKTURE,6,,"Thakali, P.",,
3ACKTURE,7,,"Barrenblit, A.",,
3ACKTURE,8,,"Naidoo, L.",,
3ACKTURE,9,,"van Deventer, H.",,
3ACKTURE,10,,"Stovall, A.",,
LLKNG6UF,0,,"Thornton, Michele",US,Oak Ridge National Laboratory
LLKNG6UF,1,,"Shrestha, Rupesh",US,Oak Ridge National Laboratory
LLKNG6UF,2,,"Cardoso, Anabelle Williamson",ZA,University of Cape Town
LLKNG6UF,2,,"Cardoso, Anabelle Williamson",US,"University at Buffalo, State University of New York"
LLKNG6UF,3,,"Hestir, Erin",US,"University of California, Merced"
LLKNG6UF,4,,"Slingsby, Jasper",ZA,University of Cape Town
LLKNG6UF,4,,"Slingsby, Jasper",ZA,South African Environmental Observation Network
LLKNG6UF,5,,"Moncrieff, Glenn",,
LLKNG6UF,6,,"Townsend, Philip",US,University of Wisconsin–Madison
LLKNG6UF,7,,"Frye, Henry A.",US,University of Wisconsin–Madison
LLKNG6UF,8,,"Kovach, Kyle R",US,University of Wisconsin–Madison
LLKNG6UF,9,,"Cawse-Nicholson, Kerry",US,Jet Propulsion Laboratory
W698BLF4,0,A5111220889,Anabelle Cardoso,ZA,University of Cape Town
W698BLF4,0,A5111220889,Anabelle Cardoso,US,"University at Buffalo, State University of New York"
W698BLF4,1,A5011542168,Erin L. Hestir,US,"University of California, Merced"
W698BLF4,2,A5075161633,Jasper A. Slingsby,ZA,University of Cape Town
W698BLF4,2,A5075161633,Jasper A. Slingsby,ZA,South African Environmental Observation Network
W698BLF4,3,A5017719816,Jacob Nesslage,US,"University of California, Merced"
W698BLF4,4,A5113368780,Cherie Forbes,ZA,University of Cape Town
W698BLF4,4,A5113368780,Cherie Forbes,US,"University at Buffalo, State University of New York"
W698BLF4,5,A5034086801,Adam M. Wilson,US,"University at Buffalo, State University of New York"
XDKCBRZQ,0,A5078335347,Anabelle W. Cardoso,US,"University at Buffalo, State University of New York"
XDKCBRZQ,1,A5075161633,Jasper A. Slingsby,ZA,University of Cape Town
XDKCBRZQ,2,A5034086801,Adam M. Wilson,US,"University at Buffalo, State University of New York"
